City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chuy,-33.6971,-53.4616,11.58,90,4,2.1,UY,1682056001
1,bethel,41.3712,-73.414,11.3,67,75,1.54,US,1682055937
2,tura,25.5198,90.2201,33.27,43,21,3.68,IN,1682055942
3,doha,25.2867,51.5333,28.99,37,0,2.06,QA,1682056002
4,bredasdorp,-34.5322,20.0403,12.19,70,83,2.12,ZA,1682056003
5,luganville,-15.5333,167.1667,27.57,82,97,2.36,VU,1682056003
6,amapa,1.0,-52.0,22.08,100,81,0.35,BR,1682055811
7,jamestown,42.097,-79.2353,18.8,62,0,3.09,US,1682056004
8,saint-pierre,-21.3393,55.4781,29.2,70,0,6.17,RE,1682056005
9,port macquarie,-31.4333,152.9167,21.61,61,68,6.58,AU,1682055932
10,carroll,39.5501,-77.0164,17.02,81,14,1.79,US,1682056006
11,bluff,-46.6,168.3333,11.56,80,24,3.62,NZ,1682056007
12,mahebourg,-20.4081,57.7,28.16,74,40,5.14,MU,1682056008
13,saldanha,-33.0117,17.9442,12.91,70,51,3.28,ZA,1682055722
14,vao,-22.6667,167.4833,25.62,79,25,3.77,NC,1682056009
15,atuona,-9.8,-139.0333,27.36,74,50,5.98,PF,1682056009
16,virginia beach,36.8529,-75.978,22.03,61,0,3.6,US,1682055739
17,komsomolskiy,40.4272,71.7189,19.4,30,75,2.06,UZ,1682056010
18,rameshki,57.3439,36.0453,8.45,66,65,2.34,RU,1682056011
19,butaritari,3.0707,172.7902,28.59,75,77,4.86,KI,1682056011
20,harper,4.375,-7.7169,26.46,83,100,1.75,LR,1682056012
21,ushuaia,-54.8,-68.3,3.81,87,100,12.35,AR,1682056000
22,ambilobe,-13.2,49.05,27.14,68,98,1.74,MG,1682056013
23,mount gambier,-37.8333,140.7667,18.44,64,61,3.13,AU,1682056014
24,tuatapere,-46.1333,167.6833,11.89,88,20,1.44,NZ,1682056014
25,ituiutaba,-18.9689,-49.465,14.55,77,10,2.59,BR,1682056015
26,vila do maio,15.1333,-23.2167,22.44,80,98,8.54,CV,1682056015
